Disclosure: Status 			Disclosure: What			Disclosure: Who							Disclosure: Where and When						Disclosure: Additional Info											
Publication Stage	Manuscript Pipeline	IP/Legal	Origin (internal vs. external)	Title/Topic/Link	Publication Type	Tempus Lead(s)	SciComm Lead / Point Person	Tempus Authors	PI / Corresponding Author	External Collaborator (PI and Institution)	Exec. Sponsor / Department Head	Key BU Stakeholder Publication Supports	Journal / Conference	Date of Target Submission (Yr, Quarter, Date)	Date Actual Submission Occurred (Yr, Quarter, Date)	Date of Most Recent Resubmission (Yr, Quarter)	Date of Publication (Date)	Year Quarter of Publication	Cancer Type	CLQ data usage	LENS Usage	IRB	IRB Protocol No.	DOI	PMID	Published Info Uploaded to Website	Notes	Abstract Disclosure Type	Main Org Work Derived From	Disease Area
Stage 7: Published	Topic / Project-specific	Not Applicable	Collaborator led (Tempus authorship)	Tumor Mutational Burden From Tumor-Only Sequencing Compared With Germline Subtraction From Paired Tumor and Normal Specimens	manuscript	Bobby Huether	N/A	 Robert Huether, Kevin White, Derick Hoskinson, Nike Beaubier	Aaron Mansfield	Kaushal Parikh, Mayo Clinic	Kevin White	Clinical Commercial	JAMA Network Open		2019 Q2  5/13/19	2019 Q4 	2/28/20	2020 Q1	Multiple cancer types	No CLQ data included	No LENS usage 	No IRB Required		10.1001/jamanetworkopen.2020.0202	32108894	Yes		N/A	R&D	Oncology
Stage 7: Published	Topic / Project-specific	Unknown	Collaborator led (Tempus authorship)	Gene-specific criteria for PTEN variant curation: Recommendations from the ClinGen PTEN Expert Panel	manuscript	Bobby Huether	N/A	Robert Huether	Charis Eng	Jessica Mester - GeneDx; Charis Eng - Case Western 	Kevin White	Clinical Commercial	Human Mutation		2018 Q2 4/26/18		10/11/18	2018 Q4	Multiple cancer types	No CLQ data included	No LENS usage 	No IRB Required		10.1002/humu.23636	30311380	Yes		N/A	R&D	Oncology
Stage 7: Published	Topic / Project-specific	Unknown	Collaborator led (Tempus authorship)	Specifications of the ACMG/AMP variant interpretation guidelines for germline TP53 variants	manuscript	Robert  Huether	N/A	Robert Huether	Sharon Savage	Sharon Savage - NIH / Clingen working group	Joel Dudley	Clinical Commercial	Human Mutation		2020 Q4		12/10/20	2020 Q4	Multiple cancer types	No CLQ data included	No LENS usage 	No IRB Required		10.1002/humu.24152	33300245			N/A	R&D	Oncology
Stage 7: Published	External Research: Grant Program	Unknown	Collaborator led (Tempus authorship)	Prevalence of microsatellite instability and monitoring response to immune checkpoint inhibition utilizing liquid biopsy among African American men with advanced prostate cancer	abstract	Alex Le/Ania Schwarzbach	pp: Namratha Sastry	Ania, Alex L, Maria Berezina, Samantha Cohen	Nicholas Mitsiades	Nicholas Mitsiades - Baylor College of Medicine - Ben Taub	Ania Schwarzbach	Clinical/Pharma Commercial	Genitourinary Cancers Proceedings / ASCO GU 2021	2020 Q4 10/13/20	2020 Q4 10/13/20		2/8/2021	2021 Q1	 Prostate cancer	No CLQ data included	LENS cohort selection & partial analysis	No IRB Required		10.1200/JCO.2021.39.6_suppl.16	N/A	Yes	Abstracts to be submitted at end of 2021 to ASCO GU; Potential publication Q1 after ASCO GU	poster	Medical Affairs	Oncology
Stage 7: Published	External Research: Grant Program	Unknown	Collaborator led (Tempus authorship)	Genomic landscape of advanced prostate cancer in racial minority populations: Real-world experience in a safety-net hospital oncology clinic	abstract	Alex Le/Ania Schwarzbach	pp: Namratha Sastry	Ania, Alex L, Maria Berezina, Samantha Cohen	Nicholas Mitsiades	Nicholas Mitsiades - Baylor College of Medicine - Ben Taub	Ania Schwarzbach	Clinical/Pharma Commercial	Genitourinary Cancers Proceedings / ASCO GU 2021	2020 Q4 10/13/20	2020 Q4 10/13/20		2/8/2021	2021 Q1	 Prostate cancer	No CLQ data included	LENS cohort selection & partial analysis	No IRB Required		10.1200/JCO.2021.39.6_suppl.14	N/A	Yes	Abstracts to be submitted at end of 2021 to ASCO GU; Potential publication Q1 after ASCO GU	oral presentation	Medical Affairs	Oncology
Stage 7: Published	External Research: Grant Program	Unknown	Collaborator led (Tempus authorship)	Genomic characterization and molecular taxonomy of sarcomatoid variant prostate cancer	abstract	Alex Barrett	pp: Matthew Kase	Tim Taxter, Alex Barrett, Jeff Schaeffer	Mitchell Gross	Mitchell Gross - USC	Kim Blackwell	Clinical Commercial	Genitourinary Cancers Proceedings / ASCO GU 2021	2020 Q4 10/13/20	2020 Q4 10/13/20		2/8/2021	2021 Q1	 Prostate cancer	No CLQ data included	LENS cohort selection & partial analysis	No IRB Required		10.1200/JCO.2021.39.6_suppl.168	N/A	Yes	Accepted for poster presentation at ASCO GU 2021	poster	Medical Affairs	Oncology
Stage 7: Published	External Research: KOL Development	Unknown	Collaborator led (Tempus authorship)	Comparative landscape of actionable somatic alterations in advanced cholangiocarcinoma from circulating tumor and tissue-based DNA profiling	abstract	Alex Barrett/Alex Le	pp: Matthew Kase	Alexander Barrett, Alexander Le	Pashtoon Kasi	Pashtoon Kasi - University of Iowa	Ania Schwarzbach	Clinical/Pharma Commercial	Gastrointestinal Cancers Proceedings / ASCO GI 2021	2020 Q3 09/23/2020	2020 Q3 09/23/2020		1/12/21	2021 Q1	 Biliary tract cancer	No CLQ data included	No LENS usage 	No IRB Required		10.1200/JCO.2021.39.3_suppl.342	N/A	Yes	Oral presentation 3/31/21	oral presentation	Medical Affairs	Oncology
Stage 7: Published	Research Sales: Paid	Unknown	Collaborator led (Tempus authorship)	Chemoradiation-Induced Molecular Alterations and Associated Outcomes in Patients With Rectal Cancer	abstract	Sherif El-Refai	pp: Matthew Kase	Sherif El-Refai, David King	Mohamed Salem	Mohamed Salem - Levine Cancer Institute	Ania Schwarzbach	Clinical Commercial	Gastrointestinal Cancers Proceedings / ASCO GI 2021	2020 Q3 09/23/2020	2020 Q3 09/23/2020		1/12/21	2021 Q1	Gastrointestinal cancers	No CLQ data included	No LENS usage 	No IRB Required		10.1200/JCO.2021.39.3_suppl.104	N/A	Yes		poster	Medical Affairs	Oncology
Stage 7: Published	External Research: KOL Development	Yes - IP protected in previously filed patent	Collaborator led (Tempus authorship)	Characterization of KRAS mutation variants and prevalence of KRASG12C in Gastrointestinal Malignancies	abstract	Sherif El-Refai	Matthew Kase	Sherif El-Refai	Mohamed Salem	Mohamed Salem - LCI	Kim Blackwell	Clinical Commercial	ESMO GI World Congress 2021	2021 Q1 3/22/21	2021 Q1 3/22/21		07/01/21	2021 Q3	Gastrointestinal cancers	No CLQ data included	LENS cohort selection & complete analysis			https://doi.org/10.1016/j.annonc.2021.05.007	N/A	Yes	Accepted for poster presentation and oral presentation	poster and oral	Medical Affairs	Oncology
Stage 7: Published	Topic / Project-specific	Unknown	Collaborator led (Tempus authorship)	Preclinical Evaluation of Artesunate as an Antineoplastic Agent in Ovarian Cancer Treatment	manuscript	Ameen Salahudeen	pp: Namratha Sastry	Ameen Salahudeen	Jill M. Kolesar	Justin Gorski - University of Kentucky	Joel Dudley	Clinical Commercial	Diagnostics	2020 Q4 12/1/20	2020 Q4 12/1/20	2021 Q1	2/26/21	2021 Q1	 Ovarian cancer	No CLQ data included	No LENS usage 	No IRB Required		10.3390/diagnostics11030395	33652561		Collab-led project that I don't think had MA involved; Added for visibility; not in ERRC spreadsheet	N/A	R&D	Oncology
Stage 7: Published	External Research: Other	Unknown	Collaborator led (Tempus authorship)	Phase Ib/II Trial of Quinacrine plus Capecitabine in Patients with Refractory Metastatic Colorectal Cancer	manuscript	Kevin White	N/A	Kevin White		Fox Chase Cancer Center / Brown University	Kevin White	Clinical Commercial	Clinical Colorectal Cancer	2020 Q3	2020 Q3		8/19/20	2020 Q3	 Colorectal cancer	No CLQ data included	No LENS usage 	No IRB Required		10.1016/j.clcc.2020.08.003	32972830	No		N/A	R&D	Oncology
Stage 7: Published	Topic / Project-specific	Unknown	Collaborator led (Tempus acknowledged or services used)	Spatial and temporal heterogeneity of PD-L1 expression and tumor mutational burden (TMB) in gastroesophageal adenocarcinoma (GEA) at baseline diagnosis and after chemotherapy 	manuscript	Anna Schwarzbach	N/A	N/A	Daniel Catenacci	Daniel Catenacci - U Chicago	Kim Blackwell	Clinical Commercial	Clinical Cancer Research		2020 Q2 5/28/20		12/1/20	2020 Q4	Gastrointestinal cancers	No CLQ data included	No LENS usage 	No IRB Required		10.1158/1078-0432.CCR-20-2085	32820017	Yes	From google scholar alert	N/A	Medical Affairs	Oncology
Stage 7: Published	Foundational Capabilities	Yes - IP not covered by patent, but publication will be filed as a provisional	Tempus led	Real-world Evidence of Diagnostic Testing and Treatment Patterns in U.S. Breast Cancer Patients with Implications for Treatment Biomarkers from RNA-sequencing Data (v2)	manuscript	Louis Fernandes, Carrie Epstein, Josh SK Bell, Gary Palmer, Alex Bobe, Matthew Kase	Matthew Kase / Alex Bobe	Louis E. Fernandes, Caroline G. Epstein, Alexandria M. Bobe, Joshua S.K. Bell, Martin C. Stumpe, Michael E. Salazar, Ameen A. Salahudeen, Ruth A. Pe Benito, Calvin McCarter, Benjamin D. Leibowitz, Matthew Kase, Catherine Igartua, Robert Huether, Ashraf Hafez, Nike Beaubier, Michael D. Axelson, and Gary Palmer	Gary Palmer	Mark Pegram - Standford, Joyce O'Shaughnessy - Texas Oncology, Sarah Sammons - Duke Cancer Center	Gary Palmer	Clinical Commercial	Clinical Breast Cancer	2020 Q3  8/1/20	2020 Q3 8/28/20	2020 Q4 	1/11/21	2021 Q1	 Breast cancer	CLQ data included	No LENS usage 	Covered under IRB Protocol - Waiver of consent & Exemption	Pro00039354	10.1016/j.clbc.2020.11.012	33446413	Yes	Idea from leadership; rejected by JCO PO (submitted Q4 2019); resubmission Q2 2020 to npj breast cancer but required major revisions; resubmission Q3 2020 to Clinical Breast Cancer	N/A	Medical Affairs	Oncology
Stage 7: Published	Topic / Project-specific	Contacted - Pending Decision	Collaborator led (Tempus authorship)	Deep Neural Networks Can Predict New-Onset Atrial Fibrillation From the 12-Lead Electrocardiogram and Help Identify Those at Risk of AF-Related Stroke	manuscript	Arun Nemani, Tanner Carbonati, Ash Hafez, Kipp Johnson, Noah Zimmerman	pp: Alex Bobe	Arun Nemani, Tanner Carbonati, Ash Hafez, Kipp Johnson, Noah Zimmerman	Christopher Haggerty	 Brandon Fornwalt, Chris Haggerty - Geisinger Health	Martin Stumpe	Clinical Commercial	Circulation	2020 Q3	2020 Q3		2/16/21	2021 Q1	N/A	No CLQ data included	No LENS usage 	No IRB Required		10.1161/CIRCULATIONAHA.120.047829	33588584	Yes	Pre-print posted, will submit to journal soon. 	N/A	R&D	Cardiology
Stage 7: Published	Foundational Capabilities	Yes - IP protected in previously filed patent	Tempus led	A pan-cancer organoid platform for precision medicine	manuscript	Ameen Salahudeen	Matthew Kase	Brian M. Larsen, Madhavi Kannan, Lee F. Langer, Benjamin D. Leibowitz, Andrea Cancino, Jonathan R. Dry, Chi-Sing Ho, Gaurav Khullar, Brandon Mapes, Jessica Metti, Tim A. Rand, Veronica Sanchez-Freire, Jenna M. Shaxted, Michelle M. Stein, ​​Yilin Zhang, Jagadish Venkataraman, Martin C. Stumpe, Kevin P. White, Aly A. Khan, Catherine Igartua, and Ameen A. Salahudeen	Ameen Salahudeen	Igor Dolgalev, Benjamin Krantz, Ende Zhao, Diane M. Simeone - NYU Langone Health; Jeff Borgia, Ashiq Masood - Rush University; Daniel Catenacci - University of Chicago; Jian-Jun Wei, Demirkan B. Gursel - Northwestern	Kevin White / Joel Dudley	R&D/Other	Cell Reports	2020 Q3	2020 Q3 9/29/20	2021 Q1  2/5/21	07/27/21	2021 Q3	Multiple cancer types	No CLQ data included	No LENS usage 			10.1016/j.celrep.2021.109429	34320344	Yes		N/A	R&D	Oncology
Stage 7: Published	Topic / Project-specific	Unknown	Collaborator led (Tempus acknowledged or services used)	Synthetic lethality-mediated precision oncology via the tumor transcriptome	manuscript	-	N/A	N/A	Eytan Ruppin	Eytan Ruppin - NIH  Joo Sang Lee - NIH, Samsung Medical Center		Clinical Commercial	Cell		2020 Q2 4/14/20		4/13/21	2021 Q2	Multiple cancer types	No CLQ data included	No LENS usage 	No IRB Required		10.1016/j.cell.2021.03.030	33857424	Yes		N/A	acknowlegement - unknown	Oncology
Stage 7: Published	Topic / Project-specific	Unknown	Collaborator led (Tempus authorship)	Early introductions and transmission of SARS-CoV-2 variant B.1.1.7 in the United States	manuscript	Matthew MacKay, Gaurav Khullar, Jessica Metti, Joel Dudley, Megan Nash, Christopher Mason	Matthew Kase	Matthew J. MacKay, Gaurav Khullar, Jessica Metti, Joel T. Dudley, Megan Nash, Nike Beaubier, Christopher E. Mason	Nathan D. Grubaugh	Nathan D. Grubaugh - Yale	Joel Dudley	Clinical Commercial	Cell		2021 Q1 02/10/21	2021 Q2	4/3/21	2021 Q2	N/A	No CLQ data included	No LENS usage 	No IRB Required		10.1016/j.cell.2021.03.061	33891875	Yes		N/A	R&D	Infectious Disease
Stage 7: Published	External Research: KOL Development	Unknown	Collaborator led (Tempus authorship)	Longitudinal monitoring of actionable somatic alterations in advanced cholangiocarcinoma from circulating tumor DNA profiling 	abstract	Alex Barrett/Alex Le	pp: Matthew Kase	Alex Barrett, Alexander Le, Greg Call	Pashtoon Kasi	Pashtoon Kasi - University of Iowa	Ania Schwarzbach	Clinical/Pharma Commercial	CCA Foundation Annual Meeting		2021 Q1		4/1/21	2021 Q2	 Biliary tract cancer	No CLQ data included	No LENS usage 	No IRB Required		10.1200/JCO.2021.39.3_suppl.342	N/A	No	Accepted for oral presentation	oral presentation	Medical Affairs	Oncology
Stage 7: Published	External Research: Other	Unknown	Collaborator led (Tempus acknowledged or services used)	Matched Whole-Genome Sequencing (WGS) and Whole-Exome Sequencing (WES) of Tumor Tissue with Circulating Tumor DNA (ctDNA) Analysis: Complementary Modalities in Clinical Practice	manuscript	Ali Nagle	N/A	N/A	Ashiq Masood	Ashiq Masood - Rush University	Ania Schwarzbach	Clinical Commercial	Cancers		2019 Q3  7/29/19		9/19/19	2019 Q3	Multiple cancer types	No CLQ data included	No LENS usage 	No IRB Required		10.3390/cancers11091399	31546879	Yes		N/A	Medical Affairs	Oncology
Stage 7: Published	External Research: Other	Unknown	Collaborator led (Tempus acknowledged or services used)	Mutation Status and Epithelial Differentiation Stratify Recurrence Risk in Chordoid Meningioma—A Multicenter Study with High Prognostic Relevance 	manuscript	Mike Caldwell (POp)	N/A	N/A	MM Georgescu	MM Georgescu - LSU Shreveport	Ania Schwarzbach	Clinical Commercial	Cancers		2019 Q4  11/9/19		1/17/20	2020 Q1	Other	No CLQ data included	No LENS usage 	No IRB Required		10.3390/cancers12010225	31963394	Yes		N/A	Medical Affairs	Oncology
Stage 7: Published	External Research: Other	Unknown	Collaborator led (Tempus acknowledged or services used)	Molecular portraits of metastatic breast cancer using tissue next-generation sequencing	abstract	Megan Pelino (POp)	N/A	N/A	Massimo Cristofanilli	Cristofanilli - Northwestern	Ania Schwarzbach	Clinical Commercial	Cancer Research / SABCS 2019		2019 Q3		2/15/20	2020 Q1	 Breast cancer	No CLQ data included	No LENS usage 	No IRB Required		10.1158/1538-7445.SABCS19-P4-05-18	N/A	Yes		poster	Medical Affairs	Oncology
Stage 7: Published	Topic / Project-specific	Unknown	Tempus led	Evaluating clinical features and prognostic factors associated with response to immune checkpoint blockade in mNSCLC patients	abstract	Prerna Jain / Aly Khan	Matthew Kase	Prerna Jain, Michelle Stein, Yinjie Gao, Denise Lau, Aly A. Khan	Aly Khan	N/A	Joel Dudley	Clinical Commercial	Cancer Research / AACR 2021	2020 Q4 11/19/20	2020 Q4 11/19/20		3/10/21	2021 Q1	 Non-small cell lung cancer	CLQ data included	No LENS usage 	No IRB Required		N/A	N/A	Yes	Abstract Control Number: 2587  Abstract Number: 773  Accepted for: Poster	poster	R&D	Oncology
Stage 7: Published	Topic / Project-specific	Unknown	Tempus led	Cytotoxic CD4+ T cells mediate anti-tumor immune responses in non-small cell lung cancer	abstract	Denise Lau / Aly Khan	Matthew Kase	Denise Lau, Sonal Khare, Derek Reiman, Tim Rand, Ameen Salahudeen, Aly Khan	Aly Khan	N/A	Joel Dudley	Algos	Cancer Research / AACR 2021	2020 Q4 11/19/20	2020 Q4 11/19/20		3/10/21	2021 Q1	 Non-small cell lung cancer	No CLQ data included	No LENS usage 	No IRB Required		N/A	N/A	Yes	Abstract Control Number: 2081  Abstract Number: 1487  Accepted for: Poster	poster	R&D	Oncology
Stage 7: Published	Topic / Project-specific	Unknown	Tempus led	Characterizing differences in checkpoint inhibitor biomarkers, PD-L1 concordance, and the transcriptome in a real-world cohort of stage III and IV non-small cell lung cancer patients	abstract	Michelle Stein / Aly Khan	Matthew Kase	Yinjie Gao, Michelle M. Stein, Prerna Jain, Denise Lau, Kimberly L. Blackwell, Aly A. Khan	Aly Khan	N/A	Joel Dudley	Clinical/Pharma Commercial	Cancer Research / AACR 2021	2020 Q4 11/19/20	2020 Q4 11/19/20		3/10/21	2021 Q1	 Non-small cell lung cancer	No CLQ data included	No LENS usage 	No IRB Required		N/A	N/A	Yes	Abstract Control Number: 2571  Abstract Number: 1616  Accepted for: Poster	poster	R&D	Oncology
Stage 7: Published	External Research: Other	Unknown	Collaborator led (Tempus authorship)	Incidence of molecular alterations in KRAS and other known cancer genes in patients with pancreatic cancer assessed with a commercial genomic profiling panel compared to TCGA results	abstract	Alexander Le	pp: Namratha Sastry	Alex Le, Jeff Schaefer, Nick Olsen, Matt Sonnleitner, and Lorenzo Grego	Bing Zhang, Kim Worley, William Fischer, Benjamin Musher	Bing Zhang, Kim Worley, William Fischer, Benjamin Musher - Baylor College of Medicine	Ania Schwarzbach	Clinical/Pharma Commercial	Cancer Research / AACR 2021	2021 Q1 2/17/21	2020 Q4 11/19/20		3/10/21	2021 Q1	 Pancreatic cancer	No CLQ data included	LENS cohort selection & complete analysis	No IRB Required		10.1158/1538-7445.AM2021-867	N/A	Yes	Only using BCM panc. cases for abstract; not in ERRC spreadsheet  Abstract Control Number: 1749  Abstract Number: 867  Accepted for: Poster	poster	Medical Affairs	Oncology
Stage 7: Published	External Research: KOL Development	Unknown	Collaborator led (Tempus authorship)	Genomic Characterization and Monitoring Molecular Response to Treatment in African American (AA) Advanced Prostate Cancer (PC) Patients (Pts) via Next-Generation Sequencing (NGS): Real-world Experience in a Safety Net Hospital Oncology Clinic	abstract	Alexander Le	pp: Namratha Sastry	Alexander Le, Samantha Cohen, Maria Berezina, Anna Schwarzbach, 	Nicholas Mitsiades	Nicholas Mitsiades - Baylor College of Medicine	Anna Schwarzbach	Clinical/Pharma Commercial	Cancer Research / AACR 2021	2020 Q4	2020 Q4		3/10/21	2021 Q1	 Prostate cancer	No CLQ data included	LENS cohort selection & partial analysis	No IRB Required		10.1158/1538-7445.AM2021-549 	N/A	Yes	Abstract Control Number: 1369   Abstract Number: 549  Accepted for: Poster	poster	Medical Affairs	Oncology
Stage 7: Published	Topic / Project-specific	Unknown	Tempus led	Leveraging clinical RNA-sequencing for scalable tumor immune repertoire profiling	abstract	Taylor Harding, Jason Perera / Aly Khan	Matthew Kase	Taylor S. Harding, Brittany Mineo, Jenna Malinauskas, Jason Perera, Aly A. Khan	Aly Khan	N/A	Joel Dudley	Clinical/Pharma Commercial	Cancer Research / AACR 2021	2020 Q4 11/19/20	2020 Q4 11/19/20		3/10/21	2021 Q1	Multiple cancer types	No CLQ data included	No LENS usage 	No IRB Required		10.1158/1538-7445.AM2021-1675	N/A	Yes	Abstract Control Number: 2635  Abstract Number: 1675  Accepted for: Poster	poster	R&D	Oncology
Stage 7: Published	Topic / Project-specific	Unknown	Tempus led	Comprehensive validation of RNA-sequencing for clinical NGS fusion genes and RNA expression reporting	abstract	Jerod Parsons, John Hu / Bob Tell	Namratha Sastry	Jun Hu, Jerod Parsons, Brittany Mineo, Josh SK Bell, Jenna Malinauskas, Joshua Drews, Jack Michuda, Calvin McCarter, Rasika Dhond, Jack C. Tyndall, Nithya Sreenivasan, Sheeri Hanjra, Shannon Gallagher, Ankit Jambusaria, Naihui Zhou, Catherine Igartua, Nike Beaubier, Richard A. Blidner and Robert Tell	Bob Tell	N/A	Joel Dudley	Clinical/Pharma Commercial	Cancer Research / AACR 2021	2020 Q4 11/19/20	2020 Q4 11/19/20		3/10/21	2021 Q1	Multiple cancer types	No CLQ data included	No LENS usage 	No IRB Required		10.1158/1538-7445.AM2021-2239	N/A	Yes	Abstract Control Number: 4029  Abstract Number: 2239  Accepted for: Poster	poster	R&D	Oncology
Stage 7: Published	Topic / Project-specific	Unknown	Tempus led	Transferring diagnostic and prognostic molecular models across technological platforms	abstract	Stephane Wenric, Talal Ahmed	Namratha Sastry	Talal Ahmed, Stephane Wenric, Mark Carty, Rafael Pelossof	Rafi Pelossof	N/A	Martin Stumpe	Pharma Commercial	Cancer Research / AACR 2021	2020 Q4 11/19/20	2020 Q4 11/19/20		3/10/21	2021 Q1	Multiple cancer types	No CLQ data included	No LENS usage 	No IRB Required		10.1158/1538-7445.AM2021-242 	N/A	Yes	Abstract Control Number: 2878  Abstract Number: 242  Accepted for: Poster	poster	R&D	Oncology
Stage 7: Published	External Research: Other	Unknown	Collaborator led (Tempus authorship)	Recurrent transcriptional active ESR1 fusions render therapeutic vulnerabilities to kinase inhibition in metastatic breast cancer	abstract	Michael Caldwell (POp)	N/A	Kevin White, Michael Caldwell, Jonathan Ball	Matthew Ellis	Matthew Ellis	Kevin White	Clinical Commercial	Cancer Research / AACR 2020	2019 Q4 12/4/19	2019 Q4  12/5/19		5/15/20	2020 Q2	 Breast cancer	No CLQ data included	No LENS usage 	No IRB Required		10.1158/1538-7445.AM2020-5677	N/A	Yes		poster	Medical Affairs	Oncology
Stage 7: Published	Topic / Project-specific	Unknown	Tempus led	Robust detection of sequencing batch effects in RNA through low dimensional embedding with subtype-matched reference samples	abstract	Joshua SK Bell and Joshua Drews	N/A	Joshua Drews, Joshua Bell, Wesley Munson, Saksham Saini, Benjamin Leibowitz, Jackson Michuda, Calvin McCarter, Lee Langer, Catherine Igartua, Kevin White	Kevin White	N/A	Kevin White	R&D/Other	Cancer Research / AACR 2020	2019 Q1  1/29/19	2019 Q1  1/29/19		5/15/20	2020 Q2	Multiple cancer types	No CLQ data included	No LENS usage 	No IRB Required		10.1158/1538-7445.AM2020-5466	N/A	Yes		poster	R&D	Oncology
Stage 7: Published	Topic / Project-specific	Yes - IP not covered by patent, but publication will be filed as a provisional	Tempus led	Multimodal prediction of diagnosis for cancers of unknown primary	abstract	Jack Michuda	N/A	Jackson Michuda, Benjamin Leibowitz, Shlomit Amar-Farkash, Crystal Bevis, Alessandra Breschi, Joshuah Kapilivsky, Catherine Igartua, Joshua S. K. Bell, Kyle A. Beauchamp, Kevin White, Martin Stumpe, Nike Beaubier, Timothy Taxter	Tim Taxter	N/A	Nike Beaubier	Algos	Cancer Research / AACR 2020	2019 Q4  12/4/19	2019 Q4  12/4/19		5/15/20	2020 Q2	Multiple cancer types	No CLQ data included	No LENS usage 	No IRB Required		10.1158/1538-7445.AM2020-5423	N/A	Yes		poster	R&D	Oncology
Stage 7: Published	Topic / Project-specific	Unknown	Tempus led	Universal genetic and transcriptomic concordance metrics to validate patient-derived tumor organoid models	abstract	Brandon Mapes	N/A	Brandon L. Mapes, Joshua SK Bell, Lee F. Langer, Robert Huether, Catherine Igartua, Veronica Sanchez-Freire, Robert Tell, Jeffrey A. Borgia, Ashiq Masood and Ameen A. Salahudeen	Ameen Salahudeen	Rush - Borgia/Masood	Kevin White	R&D/Other	Cancer Research / AACR 2020	2019 Q4  12/5/19	2019 Q4  12/5/19		5/15/20	2020 Q2	Multiple cancer types	No CLQ data included	No LENS usage 	No IRB Required		10.1158/1538-7445.AM2020-3908	N/A	Yes		poster	R&D	Oncology
Stage 7: Published	Topic / Project-specific	Unknown	Tempus led	Large Scale Ultradeep Phenotypic Analysis of Patient Derived Tumor Organoids Unveils Intra- and Inter-tumor Heterogeneity of Drug Response.	abstract	Brian Larsen	N/A	Brian M. Larsen, Michelle Stein, Madhavi Kannan, Yilin Zhang, Veronica Sanchez-Freire, Andrea Cancino, Luka Karginov, Aly A. Khan, Ameen A. Salahudeen	Ameen Salahudeen	N/A	Kevin White	R&D/Other	Cancer Research / AACR 2020	2019 Q4  12/5/19	2019 Q4  12/5/19		5/15/20	2020 Q2	Multiple cancer types	No CLQ data included	No LENS usage 	No IRB Required		N/A	N/A	Yes		poster	R&D	Oncology
Stage 7: Published	Topic / Project-specific	Unknown	Tempus led	Accurate estimation of circulating tumor DNA fraction from ultra-low-pass, whole-genome sequencing	abstract	Justin Finkle	N/A	Justin Finkle, Christine Lo, Hala Boulos, Terri Driessen, Wei Zhu, Robert Tell	Robert Tell	N/A	Kevin White	Clinical Commercial	Cancer Research / AACR 2020	2019 Q4  12/5/19	2019 Q4  12/5/19		5/15/20	2020 Q2	Multiple cancer types	No CLQ data included	No LENS usage 	No IRB Required		10.1158/1538-7445.AM2020-3106	N/A	Yes		poster	R&D	Oncology
Stage 7: Published	Topic / Project-specific	Unknown	Tempus led	Identification of novel druggable fusions enabled through the use of an automated RNA fusion prioritization pipeline	abstract	Sumaiya Islam	N/A	Sumaiya A. Islam, Robert Huether, Emily Kudalkar	Robert Huether	N/A	Kevin White	Clinical/Pharma Commercial	Cancer Research / AACR 2020	2019 Q4  12/5/19	2019 Q4  12/5/19		5/15/20	2020 Q2	Multiple cancer types	No CLQ data included	No LENS usage 	No IRB Required		10.1158/1538-7445.AM2020-5474	N/A	Yes		poster	R&D	Oncology
Stage 7: Published	Topic / Project-specific	Unknown	Tempus led	Transcriptome background tissue correction in metastatic cancers using a correlated composition admixture model	abstract	Calvin McCarter	N/A	Calvin McCarter, Benjamin Leibowitz, Jackson Michuda, Joshua S. K. Bell, Catherine Igartua, Kevin P. White	Kevin White	N/A	Kevin White	R&D/Other	Cancer Research / AACR 2020	2019 Q4  12/5/19	2019 Q4 2/5/19		5/15/20	2020 Q2	Multiple cancer types	No CLQ data included	No LENS usage 	No IRB Required		10.1158/1538-7445.AM2020-5481	N/A	Yes		poster	R&D	Oncology
Stage 7: Published	Topic / Project-specific	Yes - IP protected in previously filed patent	Tempus led	Predicting oncogenic viral status using RNA signatures	abstract	Ariane Lozac’hmeur, Denise Lau	N/A	Ariane Lozac’hmeur, Denise Lau and Aly Khan	Aly Khan	N/A	Kevin White	Clinical/Pharma Commercial	Cancer Research / AACR 2019		2018 Q4 11/15/18		7/1/19	2019 Q3	Multiple cancer types	No CLQ data included	No LENS usage 	No IRB Required		10.1158/1538-7445.AM2019-135	N/A	Yes	accepted for poster presentation; poster created 	poster	R&D	Oncology
Stage 7: Published	Topic / Project-specific	Unknown	Collaborator led (Tempus authorship)	Comparative analysis of genomic landscape reveals heterogeneity in HER2-positive primary breast cancers and residual disease following neoadjuvant therapy	abstract	Kevin White	N/A	Nike Beaubier, Taylor Abboushi, Kevin White	Olopade	Olopade - U Chicago	Kevin White	Clinical Commercial	Cancer Research (SABCS 2019)		2019 Q3		2/20/20	2020 Q1	 Breast cancer	No CLQ data included	No LENS usage 	No IRB Required		10.1158/1538-7445.SABCS19-P4-05-10 	N/A	Yes		poster	R&D	Oncology
Stage 7: Published	Topic / Project-specific	Not Applicable	Tempus led	How to Detect — and Protect Against — Model Drift in Machine Learning	other (e.g., blog)	Sun Hae Hong, Kyle Beauchamp	pp: Matthew Kase	Sun Hae Hong, Kyle Beauchamp	N/A	N/A	Martin Stumpe	R&D/Other	Built-in SF	2020 Q3	2020 Q3				N/A	No CLQ data included	No LENS usage 	No IRB Required								N/A
